Rank,Company,Sector,Debt_to_EBITDA,Stress_Debt_to_EBITDA,Debt_EBITDA_change
1,PUMA SE                       I,Consumer Cyclical,290.68,415.26,124.58
2,PROSUS,Consumer Cyclical,42.83,61.18,18.36
3,VOLKSWAGEN AG                 V,Consumer Cyclical,12.77,18.24,5.47
4,LEG Immobilien SE             N,Real Estate,19.44,24.3,4.86
5,Vonovia SE                    N,Real Estate,18.09,22.62,4.52
6,Mercedes-Benz Group AG        N,Consumer Cyclical,8.98,12.83,3.85
7,BAYERISCHE MOTOREN WERKE AG   S,Consumer Cyclical,7.65,10.93,3.28
8,KERING,Consumer Cyclical,7.3,10.43,3.13
9,RWE AG                        I,Utilities,23.06,25.62,2.56
10,"Volvo, AB ser. B",Industrials,4.81,6.01,1.2
